#CHAPTER	TEXT	AUDIO	ANSWER-PIC	BLACKLIST-PIC	ENGLISH GLOSS	NOTES
	ᏙᏯᏊᏍ ᎣᏍᏓ?	doyagwus-osda			Is just the beaver good?	
	ᎠᎭᏫᏍᎪ ᎤᏲᎢ?	ahawisgo-uyoi			Is the deer bad?	
						
92	ᏣᎳᎩᏧ?	jalagiju			It is Cherokee, right?	
	ᏗᎪᏪᎵ ᏓᏂᎪᏩᏘᎭ.	digohweli-danigowhtiha			Papers or a book or books, them see them.	
	ᏲᏁᎦᎾ?	yonegana			What about English?	
	ᎦᎵᏉᎩᏍ?	galgwogis			Is it seven?	
	ᎪᏪᎵᏍᎪ ᎠᏂᎪᏩᏘᎭ?	gohwelisgo-anigowhtiha			Is it a paper they see?	
	ᎯᎳ ᎢᏯᏂ ᎠᎭᏫ?	hila-iyani-ahawi			How many (animate) deer?	
	ᎫᎴ Ꮵ̣ᎪᏩᏘᎭ.	gule-jigowhtiha			An acorn, it I see.	
	ᏚᏯᏍᎪ ᏓᎪᏩᏘᎭ?	tuyasgo-dagowhtiha			Beans, does he or she see them? Is it beans he or she sees?	
	ᎫᎴᏍ ᏕᎯ̣ᎪᏩᏘᎭ?	gules-dehigowhtiha			Acorns, you see them, right?	
	ᎠᏴᏊ ᎩᏟ ᏥᎪᏩᏘᎭ.	ayvgwu-gihli-jigowhtiha			Just I, a dog, I see it.	
						
100	ᎠᏂᏴᏫ.	aniyvwi			People.	
	ᎠᏂᎩᏟ.	anigihli			The Dog people.	
	ᎠᏂᏥᏍᏚ.	anijisdu			The Rabbit people.	
	ᎠᏂᏩᎭᏯ.	aniwahaya			The Wolf people.	
	ᎠᏂᏪᏌ.	aniwesa			The Cat people.	
	ᎠᏴᏫ	ayvwi			A person.	
